Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Profession,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Connections,Wealth,Reputation,Unlucky,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Reasoning,Strength,Body,Reflexes,Dexterity,Intelligence,Willpower,Charisma
"",Private,Chris,Odescalchi,,Chris,Odescalchi,,,Architect,3005-07-01,Killed in Action,Male,Regular,Soldier,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,622 C-Bill,31,Lyran Commonwealth,Steelton,3005-07-01,3028-01-01,3028-09-11,,,3031-02-14,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,0,1,1,0,0,9,Early Childhood,Impulsive (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,César,Ortíz,,César,Ortíz,,,Gear,3003-12-27,Active,Male,Veteran,Soldier,Jump Platoon (Rifle),Echo Urban Warfare Company (Infantry),-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,404 C-Bill",33,Mercenary,Maxie's Planet,3003-12-27,3028-01-01,3031-02-26,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,1,0,0,10,Early Childhood,Domineering (-),None (-),None (-),None (-),10,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Janusz,Balzac,,Janusz,Balzac,,,Mask,3004-04-07,Active,Male,Veteran,Soldier,Jump Platoon (Rifle),Echo Urban Warfare Company (Infantry),-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"2,106 C-Bill",30,Independent,Star's End (Novo Cressidas),3004-04-07,3028-01-01,3031-02-26,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,Belligerent (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Wlodzimierz,Urakchiev,,Wlodzimierz,Urakchiev,,,Queen Bee,3005-02-07,Active,Male,Regular,Soldier,Jump Platoon (Rifle),Echo Urban Warfare Company (Infantry),-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,878 C-Bill,30,Draconis Combine,Harvest,3005-02-07,3028-01-01,3031-02-26,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,1,1,0,0,9,Early Childhood,None (-),Ambitious (+),Generous (+),Sincere (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Petty Officer,Sloan,MacCaw,,Sloan,MacCaw,,,Kaiser,3001-03-07,Active,Female,Regular,Conventional Aircraft Pilot,Boomerang Spotter Plane,Airbourne Recon,-,-/-,-/-,-/-,-/-,-/-,4/4,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",40,Mercenary,Verthandi (Norn),3001-03-07,3028-01-01,3028-09-22,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),Driven (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Per,Gaul,,Per,Gaul,,,Loki,3005-02-18,Active,Male,Regular,Mechanic,2 units (420m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,0,936 C-Bill,49,Mercenary,Persistence,3005-02-18,3028-01-01,3031-02-15,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),9,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Labid,Abol-Zhang,,Labid,Abol-Zhang,,,Brave,2999-01-02,Active,Male,Regular,Mechanic,Partisan Heavy Tank (LRM) (360m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,0,936 C-Bill,44,Mercenary,Romulus,2999-01-02,3028-01-01,3031-02-15,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Jung-Ja,Yun,,Jung-Ja,Yun,,,Fuzz,3007-08-16,Active,Female,Regular,Mechanic,3 units (480m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,0,936 C-Bill,38,Mercenary,Chateau,3007-08-16,3028-01-01,3031-02-15,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),Arrogant (-),Voracious (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 2nd Class,Ghaaliya,O'Tuohy,,Ghaaliya,O'Tuohy,,,Wendigo,3004-06-14,Active,Female,Ultra-Green,Mechanic,3 units (380m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,0,0,398 C-Bill,35,Lyran Commonwealth,Maxie's Planet,3004-06-14,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,Domineering (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Master Tech,Richelle,Le Gall,,Richelle,Le Gall,,,Wagon,2995-04-21,Active,Female,Elite,Mechanic,2 units (340m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,0,0,"5,555 C-Bill",40,Draconis Combine,Csesztreg,2995-04-21,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,-2,0,0,0,9,Early Childhood,None (-),None (-),Shrewd (+),None (-),14,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Lindsay,Vlaminks,,Lindsay,Vlaminks,,,Casket,3002-08-10,Active,Female,Veteran,Vehicle Driver,MASH Truck (ICE) [Driver],Loistics Support Lance,-,-/-,4/4,4/-,4/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"2,635 C-Bill",34,Mercenary,Star's End (Novo Cressidas),3002-08-10,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,-1,1,0,0,9,Early Childhood,None (-),Overconfident (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Ashwin,Wiersma,,Ashwin,Wiersma,,,Ouroboros,3003-10-23,Active,Male,Veteran,Vehicle Gunner,MASH Truck (ICE) [Gunner],Loistics Support Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,5,-,-,6,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,195 C-Bill",38,Mercenary,Treeline,3003-10-23,3028-01-01,3028-09-22,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,1,0,0,9,Early Childhood,None (-),None (-),Judicious (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Susan,Wilson,,Susan,Wilson,,,Fuzzy,3006-10-31,Active,Female,Regular,AeroTek,2 units (480m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,0,0,936 C-Bill,41,Draconis Combine,Harvest,3006-10-31,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,Overbearing (-),None (-),Voracious (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Captain,Euzebia,Harendarski,,Euzebia,Harendarski,,,Xerxes,2994-09-12,Active,Female,Elite,Vessel Pilot,Leopard (Black Swan Mk III) - The Black Swan [Pilot],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,2/2,-,5,-,-,5,-,4,-,-,-,-,-,-,-,-,-,0,3,"7,456 C-Bill",57,Independent,Star's End (Novo Cressidas),2994-09-12,3028-01-01,3028-01-01,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,-2,1,0,0,9,Early Childhood,None (-),None (-),Fraudulent (-),None (-),10,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Lieutenant SG,Kim-Thanh,Caballero,,Kim-Thanh,Caballero,,,Punchy,3001-01-28,Active,Female,Veteran,Vessel Pilot,Leopard (Black Swan Mk III) - The Black Swan [Pilot],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,-/4,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"2,672 C-Bill",55,Independent,Star's End (Novo Cressidas),3001-01-28,3028-01-01,3028-09-11,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,-1,1,0,0,9,Early Childhood,None (-),None (-),None (-),Friendly (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Master Chief PO,Svyatoslav,Efimenko,,Svyatoslav,Efimenko,,,Warmaster,3003-06-10,Active,Male,Veteran,Vessel Pilot,Leopard (Black Swan Mk III) - The Black Swan [Pilot],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,-/4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"3,472 C-Bill",45,Independent,Star's End (Novo Cressidas),3003-06-10,3028-01-01,3028-09-11,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,-1,1,0,0,9,Early Childhood,None (-),None (-),Hoarding (-),Inspiring (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman,Leonhard,Bilh,,Leonhard,Bilh,,,Thunder,3001-04-23,Active,Male,Regular,Vessel Gunner,Leopard (Black Swan Mk III) - The Black Swan [Gunner],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,4/-,-,4,-,-,8,-,-,-,-,-,-,-,-,-,-,-,0,5,830 C-Bill,50,Lyran Commonwealth,Trell I,3001-04-23,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman,Soo,Mok,,Soo,Mok,,,Dancer,2999-01-30,Active,Female,Regular,Vessel Gunner,Leopard (Black Swan Mk III) - The Black Swan [Gunner],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,4/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,830 C-Bill,63,Mercenary,Trell I,2999-01-30,3028-01-01,3028-09-11,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),9,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman,Dr Naqiyya,Demirtas,Dr,Naqiyya,Demirtas,,,Scope,3005-01-13,Active,Female,Regular,Vessel Gunner,Leopard (Black Swan Mk III) - The Black Swan [Gunner],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,4/-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,0,3,830 C-Bill,53,Draconis Combine,Csesztreg,3005-01-13,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),Aspiring (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Petty Officer,Hidetada,Kogawa,,Hidetada,Kogawa,,,Roundup,3005-08-01,Active,Male,Elite,Vessel Crewmember,Leopard (Black Swan Mk III) - The Black Swan [Crew],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,4,-,-,-,-,0,3,"5,856 C-Bill",59,Draconis Combine,Harvest,3005-08-01,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,1,0,0,9,Early Childhood,Tenacious (+),None (-),Astute (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Petty Officer,Dr Celestino,Pixeiro,Dr,Celestino,Pixeiro,,,Jaculus,3004-10-07,Active,Male,Elite,Vessel Crewmember / Doctor,Leopard (Black Swan Mk III) - The Black Swan [Crew],"Leopard ""Black Swan""",-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,3,5,-,-,-,0,3,"5,148 C-Bill",22,Independent,Star's End (Novo Cressidas),3004-10-07,3031-07-16,3028-09-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,1,0,0,9,Doctorate,None (-),None (-),Voracious (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Keli,Yoshimura,,Keli,Yoshimura,,,Glide,3000-07-20,Active,Male,Regular,Vehicle Driver,Heavy BattleMech Recovery Vehicle [Driver],Loistics Support Lance,-,-/-,4/5,4/-,4/-,-/-,-/-,-/-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,647 C-Bill",31,Draconis Combine,Harvest,3000-07-20,3028-01-01,3029-12-10,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),None (-),Petty (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Axelia,Papoulias,,Axelia,Papoulias,,,Fusion,3003-06-20,Active,Female,Regular,Vehicle Gunner,Heavy BattleMech Recovery Vehicle [Gunner],Loistics Support Lance,-,-/-,4/8,4/-,4/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,747 C-Bill,20,Independent,Star's End (Novo Cressidas),3003-06-20,3028-01-01,3029-12-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),Excessive (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Bridget,Peltonen,,Bridget,Peltonen,,,Dark,3004-10-12,Active,Female,Regular,Vehicle Gunner,Heavy BattleMech Recovery Vehicle [Gunner],Loistics Support Lance,-,-/-,4/8,4/-,4/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,747 C-Bill,19,Draconis Combine,Harvest,3004-10-12,3028-01-01,3029-12-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),Insatiable (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Anna-Katrijna,Uhl,,Anna-Katrijna,Uhl,,,Sapper,2991-11-12,Active,Female,Regular,Vehicle Gunner,Mobile Long Tom Artillery LT-MOB-25 [Gunner],Foxtrot Artillery Team,-,-/-,4/8,4/-,4/-,-/-,-/-,-/-,-,5,-,4,-,-,-,-,-,-,-,-,-,-,-,-,0,0,747 C-Bill,20,Draconis Combine,Harvest,2991-11-12,3028-01-01,3029-12-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),Energetic (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Howard,Kimber,,Howard,Kimber,,,Janissary,2997-01-18,Active,Male,Regular,Vehicle Gunner,Mobile Long Tom Artillery LT-MOB-25 [Gunner],Foxtrot Artillery Team,-,-/-,4/8,4/-,4/-,-/-,-/-,-/-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,0,0,747 C-Bill,28,Lyran Commonwealth,Persistence,2997-01-18,3028-01-01,3029-12-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),Shameless (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Hunter,Dotson,,Hunter,Dotson,,,Toro,3004-10-24,Active,Male,Regular,Mechanic,Partisan Heavy Tank #2 (360m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,0,936 C-Bill,44,Draconis Combine,Verthandi (Norn),3004-10-24,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,Assertive (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Tech,Mitya,Chien,,Mitya,Chien,,,Thought,3001-10-18,Active,Female,Veteran,Mechanic,Heavy BattleMech Recovery Vehicle (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,0,0,"2,342 C-Bill",30,Mercenary,Persistence,3001-10-18,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,-1,0,0,0,9,Early Childhood,None (-),None (-),None (-),Petty (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 2nd Class,Abdul,Remexido,,Abdul,Remexido,,,Wolfhound,3007-03-05,Active,Male,Ultra-Green,Mechanic,2 units (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,0,0,398 C-Bill,30,Mercenary,Toland,3007-03-05,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Tech,Vasquo,Grimlot,,Vasquo,Grimlot,,,Omaha,3005-01-30,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,549 C-Bill,40,Draconis Combine,Csesztreg,3005-01-30,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,Impetuous (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Tech,Nicolette,Kartosuwiryo,,Nicolette,Kartosuwiryo,,,Horizon,3003-07-29,Active,Female,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,549 C-Bill,44,Independent,Star's End (Novo Cressidas),3003-07-29,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,Stubborn (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Rosie,Kenton,,Rosie,Kenton,,,Houdini,3007-09-14,Active,Female,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,45,Lyran Commonwealth,Persistence,3007-09-14,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),Inspiring (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Radhi,Akua,,Radhi,Akua,,,Knucklehead,2999-08-18,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,20,Mercenary,Chateau,2999-08-18,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Christian,Capano,,Christian,Capano,,,Hulk,3006-07-11,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,44,Mercenary,Star's End (Novo Cressidas),3006-07-11,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),Dismissive (-),10,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Tech,Lance,Gill,,Lance,Gill,,,Vacuum,3001-04-02,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,549 C-Bill,64,Lyran Commonwealth,Persistence,3001-04-02,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),Tactical (+),Empathetic (+),9,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Fela,Corsie,,Fela,Corsie,,,Reheat,3007-10-02,Active,Female,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,63,Independent,Star's End (Novo Cressidas),3007-10-02,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),Savvy (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Brendan,Borton,,Brendan,Borton,,,Upgrade,3000-01-19,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,56,Independent,Star's End (Novo Cressidas),3000-01-19,3028-01-01,3031-02-24,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Hypatia,Brendel,,Hypatia,Brendel,,,Megaflop,3006-07-12,Active,Female,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,31,Lyran Commonwealth,Persistence,3006-07-12,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,Fearless (+),None (-),Savvy (+),Callous (-),9,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Yasuhiro,Kouki,,Yasuhiro,Kouki,,,Hammerhead,2999-12-06,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,47,Mercenary,Harvest,2999-12-06,3028-01-01,3031-02-24,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),21,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 2nd Class,Kuang-an,Wen,,Kuang-an,Wen,,,Decay,3007-01-24,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,0,0,249 C-Bill,35,Lyran Commonwealth,Treeline,3007-01-24,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),Unambitious (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Christyn,Brouwers,,Christyn,Brouwers,,,Rewind,2999-04-16,Active,Female,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,48,Mercenary,Persistence,2999-04-16,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Dayo,Mudrik,,Dayo,Mudrik,,,Bobsled,2997-01-11,Active,Female,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,47,Independent,Star's End (Novo Cressidas),2997-01-11,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,1,0,9,Early Childhood,Confident (+),None (-),None (-),Disingenuous (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 2nd Class,George,Kirkup,,George,Kirkup,,,Marbles,3007-09-08,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,0,0,249 C-Bill,63,Independent,Star's End (Novo Cressidas),3007-09-08,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
