Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Role,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Intelligence
"",Corporal,Bin,Mei,,Bin,Mei,,,,19,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Pollux,3131-06-24,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,N/A,No,0,-2,0,0,0,6,High School,None (-),Unscrupulous (-),None (-),None (-),12
"",Corporal,Luso,Taptalov,,Luso,Taptalov,,,,25,Active,Female,Regular,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,New Home,3125-08-26,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,Yes,No,0,0,0,0,0,11,High School,Daring (+),None (-),None (-),None (-),12
"",Corporal,Hayden,Jackson,,Hayden,Jackson,,,,26,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Capolla,3124-06-21,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,6,College,None (-),Controlling (-),Insightful (+),None (-),12
"",Corporal,Clifton,Owoduni,,Clifton,Owoduni,,,,22,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Outreach,3128-10-08,3151-05-13,3151-05-13,,,,No,No,No,N/A,Yes,N/A,No,0,-1,0,0,0,10,High School,None (-),Resourceful (++),Tactical (+),None (-),12
"",,Miren,López,,Miren,López,,,,22,Active,Female,None,Dependent,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0 C-Bill,0,Mercenary,Terra,3129-01-24,3151-05-13,,,,,No,No,No,N/A,Yes,Yes,No,0,0,0,0,0,11,High School,None (-),None (-),None (-),Apathetic (-),12
"",Corporal,Martina,Cobrella,,Martina,Cobrella,,,,25,Active,Female,Regular,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Menkent,3125-10-14,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,14,High School,None (-),Calculating (+),None (-),None (-),12
"",Sergeant,Guo-fang,Zhào,,Guo-fang,Zhào,,,,28,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,372 C-Bill",0,Mercenary,Styx,3122-07-30,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,4,College,None (-),Goal-Oriented (+),None (-),None (-),12
"",Corporal,Melissa,Bloeckner,,Melissa,Bloeckner,,,,25,Active,Female,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Chara (Pacifica),3125-09-25,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,-2,0,0,0,6,High School,None (-),None (-),None (-),Inspiring (+),12
"",Corporal,Isabel,Klah,,Isabel,Klah,,,,22,Active,Female,Regular,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Pike IV,3128-07-22,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,10,High School,None (-),None (-),None (-),None (-),13
"",Corporal,Gareth,Bedser,,Gareth,Bedser,,,,21,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Procyon,3129-07-20,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,10,College,None (-),None (-),None (-),Untrustworthy (-),12
"",Corporal,Carolyn,Torres,,Carolyn,Torres,,,,28,Active,Female,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Thorin,3122-05-28,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,-2,0,0,0,11,College,Bold (+),Motivated (+),None (-),None (-),16
"",Corporal,Kinnosuke,Ozaki,,Kinnosuke,Ozaki,,,,22,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Lipton,3128-05-16,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,N/A,No,0,-2,0,0,0,12,College,None (-),None (-),Self-Serving (-),None (-),10
"",Sergeant,Ian,Westerbos,,Ian,Westerbos,,,,29,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,372 C-Bill",0,Mercenary,Asta,3122-01-25,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,1,-1,0,0,0,13,College,Impetuous (-),None (-),None (-),None (-),12
"",Lieutenant JG,Annika,Pensomn,,Annika,Pensomn,,,,17,Active,Female,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,998 C-Bill,0,Mercenary,Capolla,3133-10-05,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,-2,0,0,0,9,High School,None (-),Strategic (+),None (-),Receptive (+),12
"",Sergeant,Maurício,Losano,,Maurício,Losano,,,,20,Active,Male,Veteran,Vehicle Gunner,Bandit Hovercraft I [Gunner],Charlie Lance,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,647 C-Bill",0,Mercenary,Northwind,3130-12-11,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,18,High School,None (-),Energetic (+),None (-),None (-),12
"",Corporal,Wanting,Trydal,,Wanting,Trydal,,,,21,Active,Female,Regular,Vehicle Gunner,Bandit Hovercraft I [Gunner],Charlie Lance,-,-/-,5/-,5/-,5/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Dieron,3129-12-26,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,13,High School,None (-),None (-),None (-),None (-),12
"",Corporal,Callum,MacQuistan,,Callum,MacQuistan,,,,18,Active,Male,Veteran,Vehicle Gunner,Bandit Hovercraft I [Gunner],Charlie Lance,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Oliver,3133-04-27,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,11,High School,None (-),None (-),None (-),Erratic (-),14
"",Corporal,Todd,Zhi,,Todd,Zhi,,,,17,Active,Male,Regular,Vehicle Driver,Bandit Hovercraft I [Driver],Charlie Lance,-,-/-,4/5,4/-,4/-,-/-,-/-,-/-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Tyrfing,3133-11-24,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,9,Early Childhood,Daring (+),None (-),None (-),None (-),12
"",Tech 1st Class,Sameeha,Sayyar,,Sameeha,Sayyar,,,,26,Active,Female,Regular,Mek Tech,Shadow Hawk IIC 8 (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,0,Draconis Combine,Nirasaki,3124-07-04,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,10,High School,Intrepid (+),None (-),None (-),None (-),13
"",Tech 1st Class,Iffat,Entee,,Iffat,Entee,,,,21,Active,Female,Green,Mek Tech,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0,0,936 C-Bill,0,Mercenary,Terra Firma,3129-06-22,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,10,High School,None (-),None (-),None (-),Empathetic (+),14
"",Tech 1st Class,Mihàil,Daci,,Mihàil,Daci,,,,18,Active,Male,Green,Mek Tech,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0,0,936 C-Bill,0,Capellan Confederation,Epsilon Indi,3133-01-20,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,6,High School,None (-),None (-),Greedy (-),None (-),12
"",Tech 1st Class,Lu-shan,Bing,,Lu-shan,Bing,,,,25,Active,Male,Regular,Mek Tech,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,0,Republic of the Sphere,Caph,3126-03-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,12,High School,None (-),None (-),None (-),Disingenuous (-),13
"",Tech 1st Class,Daryl,Mak,,Daryl,Mak,,,,19,Active,Male,Regular,Mek Tech,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,0,Mercenary,Menkent,3131-09-15,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,9,College,Overbearing (-),None (-),None (-),None (-),12
"",Tech 1st Class,Rolf,,,Rolf,,,,,22,Active,Male,Regular,Freeborn Mek Tech,Black Hawk (Nova) S (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,0,Clan Jade Falcon,Menkent,3129-02-05,3151-05-13,3151-05-13,,,,No,No,Yes,Yes,N/A,N/A,No,0,-2,0,0,0,9,High School,None (-),None (-),None (-),None (-),9
"",Tech 1st Class,Svatoslav,Weckend,,Svatoslav,Weckend,,,,26,Active,Male,Regular,Mek Tech,Locust LCT-7V2 (180m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,0,Republic of the Sphere,Caph,3124-07-18,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,10,College,None (-),None (-),None (-),Apathetic (-),12
"",Doctor,Dr Lloyd,Celaster,Dr,Lloyd,Celaster,,,,20,Active,Male,Veteran,Freeborn Doctor,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,0,0,"3,000 C-Bill",0,Clan Jade Falcon,Muphrid,3130-10-21,3151-05-13,3151-05-13,,,,No,No,Yes,Yes,N/A,N/A,No,0,-3,0,0,0,15,Early Childhood,None (-),None (-),Hoarding (-),None (-),12
"",Tech 1st Class,Sabeeka,Yasar,,Sabeeka,Yasar,,,,21,Active,Female,Regular,Mechanic,JES III Missile Carrier (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,0,936 C-Bill,0,Interstellar Expeditions,Tyrfing,3130-04-21,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,1,0,0,0,0,12,High School,None (-),None (-),None (-),Irritable (-),12
"",Tech 1st Class,Wagih,Toto,,Wagih,Toto,,,,25,Active,Male,Veteran,Mechanic,Bandit Hovercraft I (200m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,0,0,936 C-Bill,0,Mercenary,Epsilon Eridani,3125-08-27,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,12,College,None (-),None (-),None (-),Empathetic (+),12
"",Tech 1st Class,Karina,Larsen,,Karina,Larsen,,,,21,Active,Female,Green,Mechanic,Rommel Tank (Howitzer) Production (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,0,0,936 C-Bill,0,Mercenary,Pike IV,3130-05-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,14,High School,Impulsive (-),None (-),None (-),None (-),12
"",Tech 1st Class,Mckenna,Karsumaatmaja,,Mckenna,Karsumaatmaja,,,,22,Active,Female,Regular,Mechanic,Drillson Heavy Hover Tank (Streak) (200m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,0,936 C-Bill,0,Republic of the Sphere,Caph,3128-08-25,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,12,High School,Intrepid (+),Diligent (+),None (-),None (-),14
"",MedTech 1st Class,Shan-tang,Huang,,Shan-tang,Huang,,,,26,Active,Male,Ultra-Green,Medic,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,468 C-Bill,0,Mercenary,Carver V,3124-07-11,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,-1,0,0,0,0,16,High School,None (-),None (-),None (-),None (-),14
"",MedTech 1st Class,Lizabeta,,,Lizabeta,,,,,21,Active,Female,Ultra-Green,Freeborn Medic,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,468 C-Bill,0,Clan Jade Falcon,Thorin,3129-10-05,3151-05-13,3151-05-13,,,,No,No,Yes,Yes,N/A,No,No,0,-2,0,0,0,11,High School,None (-),None (-),Hoarding (-),Indifferent (-),11
"",MedTech 1st Class,Higino,Perenno,,Higino,Perenno,,,,18,Active,Male,Ultra-Green,Medic,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,468 C-Bill,0,Mercenary,Graham IV,3133-02-21,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,7,Early Childhood,None (-),None (-),None (-),None (-),14
"",MedTech 1st Class,Stanley,Zisimides,,Stanley,Zisimides,,,,23,Active,Other,Ultra-Green,Medic,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,468 C-Bill,0,Mercenary,Rigil Kentarus,3127-10-10,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,15,High School,None (-),Energetic (+),None (-),Pompous (--),10
"",Tech 1st Class,Soterios,,,Soterios,,,,,21,Active,Male,Green,Freeborn Admin/Command,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,0,0,585 C-Bill,0,Clan Jade Falcon,Muphrid,3129-11-10,3151-05-13,3151-05-13,,,,No,No,Yes,Yes,N/A,N/A,No,1,-2,0,0,0,7,Post-Graduate,None (-),Resilient (+),None (-),None (-),12
"",Tech 1st Class,Gorane,López,,Gorane,López,,,,18,Active,Female,Green,Admin/Logistical,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,0,0,585 C-Bill,0,Mercenary,Menkent,3133-03-29,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,9,High School,None (-),Aspiring (+),None (-),None (-),14
"",Tech 1st Class,Mary,Thommana,,Mary,Thommana,,,,20,Active,Female,Green,Admin/Transport,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,0,0,585 C-Bill,0,Mercenary,Keid,3131-01-05,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,13,High School,None (-),None (-),Insatiable (-),None (-),12
"",Tech 1st Class,Sonia,Sukarno,,Sonia,Sukarno,,,,23,Active,Female,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,0,0,585 C-Bill,0,Mercenary,Graham IV,3128-01-16,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,11,High School,None (-),None (-),Avaricious (-),Neglectful (-),12
